city,total
abaetetuba,56784.75143257
abel figueiredo,2822.68882883
acara,19560.81773563
afua,12528.35388089
agua azul do norte,10355.20736349
alenquer,19066.30053432
almeirim,12978.09495097
altamira,38661.69335586
anajas,8871.04375593
ananindeua,186242.40409134
anapu,7989.75161554
augusto correa,14097.23176855
aurora do para,9467.38996117
aveiro,5961.29577283
bagre,7881.74950677
baiao,14113.72299267
bannach,1593.99642103
barcarena,40235.69382086
belem,535039.4679451
belterra,6206.26971112
benevides,20749.38782409
bom jesus do tocantins,5743.13422168
bonito,5523.19595229
braganca,42359.41179474
brasil novo,6773.46528451
brejo grande do araguaia,2930.56685058
breu branco,20405.57706391
breves,31457.35635479
bujaru,9313.64032421
cachoeira do arari,7767.62981032
cachoeira do piria,9904.62852606
cameta,44015.24808914
canaa dos carajas,11600.21251126
capanema,25074.7141688
capitao poco,19830.34887915
castanhal,67640.59881163
chaves,7568.35972602
colares,4193.82729561
conceicao do araguaia,18601.71571226
concordia do para,10371.39535773
cumaru do norte,3999.68729897
curionopolis,6430.21890199
curralinho,10331.03830324
curua,4377.27009563
curuca,12817.56504307
dom eliseu,20176.20124965
eldorado dos carajas,12511.29001386
faro,3115.82293208
floresta do araguaia,7382.90676808
garrafao do norte,9771.01722424
goianesia do para,12621.00409641
gurupa,10057.55849531
igarape-acu,13454.87104061
igarape-miri,22414.83011257
inhangapi,3867.52394826
ipixuna do para,18153.94336291
irituia,11535.63461196
itaituba,36453.92685744
itupiranga,18990.92697349
jacareacanga,4240.29286442
jacunda,18925.17276742
juruti,16370.52197517
limoeiro do ajuru,9932.21581021
mae do rio,10683.18487169
magalhaes barata,2933.91239547
maraba,91190.2600481
maracana,10221.27906026
marapanim,10116.83856571
marituba,43462.21545498
medicilandia,11822.37644415
melgaco,7984.60370663
mocajuba,9234.9205825
moju,26407.66961654
monte alegre,22136.33439585
muana,13394.96895773
nova esperanca do piria,7645.80684011
nova ipixuna,5803.58782618
nova timboteua,5711.97517929
novo progresso,11029.58528836
novo repartimento,24803.09977888
obidos,18774.6744985
oeiras do para,10052.4357646
oriximina,23746.62067327
ourem,6062.01605636
ourilandia do norte,11078.36308204
pacaja,15906.776483
palestina do para,3005.00584802
paragominas,38462.52889983
parauapebas,64809.6833804
pau d'arco,2541.40743201
peixe-boi,3266.17482118
picarra,5418.70712746
placas,10128.2138724
ponta de pedras,9774.58341007
portel,17879.74339382
porto de moz,11779.2843616
prainha,10903.81005108
primavera,4050.99820824
quatipuru,4902.82300387
redencao,30613.00585235
rio maria,7781.26920374
rondon do para,18442.64486553
ruropolis,16408.93195098
salinopolis,14132.35004438
salvaterra,7951.44045745
santa barbara do para,6861.53227392
santa cruz do arari,3194.01292145
santa isabel do para,22941.39389995
santa luzia do para,7461.45842806
santa maria das barreiras,7715.49205789
santa maria do para,9736.58866855
santana do araguaia,21899.25094834
santarem,108805.99791663
santarem novo,2352.53873893
santo antonio do taua,10437.70838686
sao caetano de odivelas,6337.30612872
sao domingos do araguaia,9185.12544029
sao domingos do capim,10863.38713349
sao felix do xingu,37904.24822746
sao francisco do para,6030.71083297
sao geraldo do araguaia,9859.22935532
sao joao da ponta,1968.10999806
sao joao de pirabas,7710.5482047
sao joao do araguaia,4820.72687873
sao miguel do guama,19226.63553482
sao sebastiao da boa vista,9059.64284743
sapucaia,1973.42604195
senador jose porfirio,4908.62139241
soure,8609.45889724
tailandia,27748.44623151
terra alta,3839.32533594
terra santa,6506.30794526
tome-acu,21440.48604867
tracuateua,10381.92046106
trairao,6697.12182137
tucuma,14290.7663381
tucurui,37667.85191501
ulianopolis,15169.57531811
uruara,18288.81801257
vigia,18941.98397835
viseu,20009.16391043
vitoria do xingu,5045.62361347
xinguara,16857.5653648
