city,total,main_regular,main_irregular,other_regular,other_irregular
amparo de sao francisco,912.76242659,346.95769191,565.80473468,348.45605065,564.30637594
aquidaba,7104.82074584,1909.29893807,5195.52180777,1915.05417073,5189.76657511
aracaju,252493.18930856,172093.22510774,80399.96420082,172618.98476109,79874.20454743
araua,3954.61979347,1000.137555,2954.48223847,1000.137555,2954.48223847
areia branca,6656.6348839,2535.80629743,4120.82858647,2541.56167851,4115.07320539
barra dos coqueiros,8468.50396033,4840.85444705,3627.64951328,4840.85444705,3627.64951328
boquim,10237.32442683,2835.03344422,7402.29098261,2835.03344422,7402.29098261
brejo grande,2692.8400408,1070.25919315,1622.58084765,1070.25919315,1622.58084765
campo do brito,7460.67363537,2236.0414701,5224.63216527,2236.0414701,5224.63216527
canhoba,1752.60282826,368.2780917,1384.32473656,369.2780917,1383.32473656
caninde de sao francisco,8922.01927928,2226.84959521,6695.16968407,2238.16862823,6683.85065106
capela,9581.01588357,4955.9752161,4625.04066747,4965.94083534,4615.07504823
carira,7729.37609736,2238.45340499,5490.92269237,2238.45340499,5490.92269237
carmopolis,4296.00596012,3081.85651159,1214.14944853,3085.81136388,1210.19459624
cedro de sao joao,1997.42907405,742.68072888,1254.74834517,745.67706549,1251.75200856
cristinapolis,6044.99058504,1643.11838976,4401.87219528,1643.11838976,4401.87219528
cumbe,1592.99576254,489.31060756,1103.68515498,489.31060756,1103.68515498
divina pastora,1489.08139955,924.1660158,564.91538375,926.7349943,562.34640525
estancia,24531.901094,11839.3074009,12692.5936931,11851.27496332,12680.62613067
feira nova,1578.96621816,460.77065925,1118.19555891,460.77065925,1118.19555891
frei paulo,6038.09980276,3041.20759347,2996.89220929,3041.20759347,2996.89220929
gararu,3698.28096671,868.69184992,2829.58911679,868.69184992,2829.58911679
general maynard,925.09553088,648.83125493,276.26427595,648.83125493,276.26427595
gracho cardoso,2030.93915923,407.66038679,1623.27877244,407.66038679,1623.27877244
ilha das flores,2094.23328761,651.39518755,1442.83810006,656.49452864,1437.73875897
indiaroba,6001.9771331,1917.38597732,4084.59115578,1937.26764333,4064.70948976
itabaiana,39895.20074866,13689.32466905,26205.87607961,13728.05196961,26167.14877906
itabaianinha,15658.08539241,2861.33251046,12796.75288195,2874.08829373,12783.99709869
itabi,1842.99539691,560.34299529,1282.65240162,560.34299529,1282.65240162
itaporanga d'ajuda,9556.64573901,4607.16170764,4949.48403137,4613.7010663,4942.94467271
japaratuba,6393.70121459,2834.21174975,3559.48946484,2834.21174975,3559.48946484
japoata,4636.63326763,1467.79128259,3168.84198504,1467.79128259,3168.84198504
lagarto,41680.02759379,13868.59253658,27811.43505721,13935.6297297,27744.39786409
laranjeiras,7437.9536964,5352.35056475,2085.60313165,5352.35056475,2085.60313165
macambira,2762.57904765,753.99533061,2008.58371704,753.99533061,2008.58371704
malhada dos bois,1118.88257622,560.87303339,558.00954283,564.80933565,554.07324058
malhador,5480.76091057,1090.79194098,4389.96896959,1096.92350315,4383.83740742
maruim,5304.37315008,3105.29470971,2199.07844037,3105.29470971,2199.07844037
moita bonita,5695.92233114,807.09965415,4888.82267699,812.04120216,4883.88112898
monte alegre de sergipe,4865.89532901,970.8002431,3895.09508591,970.8002431,3895.09508591
muribeca,2575.39477702,1284.80633078,1290.58844624,1287.85938919,1287.53538783
neopolis,5504.24652572,2499.66083299,3004.58569273,2509.2582627,2994.98826302
nossa senhora aparecida,3873.2867063,868.7034658,3004.5832405,868.7034658,3004.5832405
nossa senhora da gloria,14438.05895349,4225.8295227,10212.22943079,4225.8295227,10212.22943079
nossa senhora das dores,9008.1815764,2680.62511315,6327.55646325,2680.62511315,6327.55646325
nossa senhora de lourdes,2313.17790709,592.9785486,1720.19935849,595.99156055,1717.18634654
nossa senhora do socorro,61668.29789434,38741.35324519,22926.94464915,38807.31449613,22860.98339819
pacatuba,4457.81208576,928.01060531,3529.80148045,943.909449,3513.90263676
pedra mole,1239.11404243,539.33172749,699.78231494,539.33172749,699.78231494
pedrinhas,3679.57718208,809.18068175,2870.39650033,813.47222849,2866.10495359
pinhao,2519.35399377,714.63106326,1804.72293051,717.22040899,1802.13358479
pirambu,3335.08018531,1324.50733589,2010.57284942,1339.01416983,1996.06601548
poco redondo,10295.91249282,1813.19350737,8482.71898545,1813.19350737,8482.71898545
poco verde,8885.9418432,1574.31166783,7311.63017537,1615.04533828,7270.89650492
porto da folha,10159.05046996,2209.98292369,7949.06754627,2231.85800293,7927.19246702
propria,10676.98323638,5332.1397205,5344.84351588,5340.18594108,5336.7972953
riachao do dantas,6826.51089009,1230.86627227,5595.64461782,1235.12321593,5591.38767416
riachuelo,3007.60578194,2104.0430975,903.56268444,2104.0430975,903.56268444
ribeiropolis,8320.83551056,2469.99105963,5850.84445093,2469.99105963,5850.84445093
rosario do catete,3059.25584402,2049.37680942,1009.8790346,2049.37680942,1009.8790346
salgado,7927.93706347,2447.88226857,5480.0547949,2456.36513133,5471.57193212
santa luzia do itanhy,4555.50187111,1354.20107574,3201.30079537,1358.3896061,3197.11226501
santa rosa de lima,1053.46538307,517.80168018,535.66370289,517.80168018,535.66370289
santana do sao francisco,2748.89033063,1021.94985264,1726.94047799,1031.27581235,1717.61451828
santo amaro das brotas,3300.1664833,1889.38387334,1410.78260996,1895.38215643,1404.78432687
sao cristovao,31555.6417028,19171.51074967,12384.13095313,19184.37052666,12371.27117614
sao domingos,4994.03402871,1184.12419538,3809.90983333,1184.12419538,3809.90983333
sao francisco,1255.03502409,456.45685503,798.57816906,459.24126815,795.79375593
sao miguel do aleixo,1718.99371572,558.18968282,1160.8040329,558.18968282,1160.8040329
simao dias,15472.79798586,4520.17136533,10952.62662053,4528.56367447,10944.2343114
siriri,2368.08634348,1395.69021008,972.3961334,1395.69021008,972.3961334
telha,850.39519498,377.09095023,473.30424475,381.16364381,469.23155116
tobias barreto,21524.03009918,4814.32388485,16709.70621433,4826.46578246,16697.56431673
tomar do geru,5150.6009606,822.66684412,4327.93411648,822.66684412,4327.93411648
umbauba,9520.13057125,2454.36542307,7065.76514818,2475.42417952,7044.70639173
